tweet_id,tweet_text,Misogyny
8.99E+17,วันๆ นี่คุยกะหมา แมว หมู ไก่ ม้า ควาย มากกว่าคุยกับคนไปละ,0
8.47E+17,ไงเครื่องซักผ้า  เครื่องทำแซนวิธเครื่องผลิตลูก,1
9.00E+17,หล่อมากกก หล่อวัวตายควายล้มกันเลยทีเดียวววว,0
8.99E+17,สิวเหี้ยไรขึ้นหลังหู เสียชาติเกิดมั้ย เกิดมามันต้องต้องโดดเด่นเด้งดึ๋งอย่าเช่นขึ้นที่หน้าไรงี้ อีควาย,0
8.97E+17,อ่ะ ป่วยก็ป่วย งานจ้างก็ต้องทำ งานเรียนก็ต้องทำ วิชาดีไซน์ตัวร้ายกับควายอย่างกูเอง,0
8.98E+17,ใช่ครับ แม่ผมเป็นวัตถุทางเพศของพ่อผมครับ,1
8.97E+17,นี่ก็เพิ่งรู้ว่า เกิดชาตินี้ชาติเดียว เป็นทั้ง เหี้ย เป็นทั้ง ควาย เลย คุ้มแท้ๆ 😆,0
8.99E+17,โว้ยอีควาย หนักกว่ากูก็มึงอะ,0
9.00E+17,"ขอโทษ นะครับ อยากได้ควายให้ไปคบกับคนอื่นนะ
พอดีกูคนไม่ใช่ควาย ☻",0
8.99E+17,ปลั๊กไฟอยู่พื้น เลยลงมานอนบนพื้น อีควาย ไฟจะดูดกูมั้ย เสียบชาร์จไฟก็แลบออกมา อีเหี้ยยย,0
8.99E+17,ผู้หญิงทำนมเพราะอยากให้ผู้ชายมอง ตัวอย่างเช่นพริตตี้เป็นต้น,1
9.00E+17,"กูมันโง่เองที่ยังเชื่อคำสัญญาบ้าบอของคนคนนึงอยู่...
...กูนี้มันควายจริงๆ #😏",0
8.99E+17,ควายมันอยู่บนดินไง มันบินไม่ได้,0
8.99E+17,เมื่อเช้าก็ควาย ตอนนี้ก็หมา ใครทำไรมึง twitter.com/qxzs91/status/…,0
8.99E+17,ความคิดต่ำๆอีควาย ไม่ให้เกียรติผู้หญิง สันดาน,0
8.99E+17,ควายแดงเมิงด่ารัฐบาลจนรองนายกป่วย พวกมึงกำลังทำลายชาติรู้มั้ย มั้ย มั้ย มั้ยยยยยยยยย news.voicetv.co.th/thailand/51672…,0
8.99E+17,เออ มันปากหมา กูรู้ แต่กูรักไง กูรักไปแล้วเว้ย ทำไงได้ว้ะ ไม่เป็นกูไม่รู้หรอก มุมดีๆมันก็เยอะจนกูลืมไม่ลงเหมือนกันแหละ แม่ง !!,0
8.99E+17,ผู้หญิงแม่งก็แค่วัตถุทางเพศ,1
8.98E+17,ผู้หญิงเป็นวัตถุทางเพศ #มองนมไม่ผิด,1
9.01E+17,ข้อเท็จจริงที่ผู้หญิงต้องยอมรับคือผู้หญิงไม่ใช่คน ผู้หญิงคือเครื่องบำบัดความใคร่ให้ผู้ชาย คือเครื่องผลิตลูก #อีกลุ่มเบียวชิบหาย,1
9.00E+17,"เมือเราถูกเข้าใจผิด...สิ่งที่ยากที่สุดคือพยายามปรับความเข้าใจกับ..ควาย..ด้วยภาษา...คน

#ชมรมครูฝึกยิงปืน",0
8.92E+17,ปฏิวัติมาแทบตาย สุดท้ายได้ควายเป็นนายก #กะลาแลนด์,0
8.97E+17,คนไทยจะโกรธมากถ้าพูดว่าสีซอให้ควายฟัง ทั้งๆที่ตัวเองไม่รับฟังความเห็นของผู้อื่น ยึดติดในความคิดของตัวเอง ชาติไม่เจริญไม่โทษใคร #คุนต่อยอด,0
8.99E+17,ผู้หญิง = เครื่องล้างจาน,1
8.99E+17,ชายเป็นใหญ่ ผู้หญิงเป็นทาสผู้ชาย,1
8.99E+17,บางทีก็สงสัยนะว่าตัวเองเลี้ยงหมาหรือหมูหรือหมีขาวล่าสุดเลี้ยงแกะอ้วน,0
8.98E+17,รองเท้าใหม่ก็กัดจริงกัดจัง เป็นหมาหรอสาด,0
